순위,종목코드,종목명,현재가,대비,등락률,거래량,거래대금,시가,고가,저가,시가총액,시가총액비중(%),상장주식수,외국인 보유주식수,외국인 지분율(%),총카운트
195,200130,콜마비앤에이치,"20,550","-2,450","-10.6","117,473","2,461,250,750","22,150","22,150","20,500","607,120,116,900","0.05","29,543,558",,,
196,213420,덕산네오룩스,"24,950","-450","-1.8","616,357","15,161,018,800","23,600","26,600","23,250","599,049,799,400","0.05","24,010,012",,,
197,020560,아시아나항공,"2,670","-65","-2.4","5,643,272","15,981,588,180","2,500","3,300","2,395","596,038,234,980","0.05","223,235,294",,,
198,298380,에이비엘바이오,"13,050","-1,150","-8.1","998,517","13,338,341,650","13,300","13,900","12,850","595,882,901,250","0.05","45,661,525",,,
199,064760,티씨케이,"51,000","-3,000","-5.6","66,213","3,228,443,450","50,000","52,000","46,100","595,425,000,000","0.05","11,675,000",,,
200,086450,동국제약,"66,500","-6,400","-8.8","60,416","4,041,065,500","68,500","68,900","65,100","591,318,000,000","0.05","8,892,000",,,
201,085660,차바이오텍,"11,200","-50","-0.4","534,063","5,852,567,100","10,650","11,450","10,500","587,782,316,800","0.05","52,480,564",,,
202,046890,서울반도체,"10,000","-800","-7.4","1,347,507","13,539,284,530","10,150","10,400","9,740","583,054,000,000","0.05","58,305,400",,,
203,280360,롯데제과,"90,500","-10,500","-10.4","7,087","653,064,800","95,500","95,700","90,400","580,712,888,500","0.05","6,416,717",,,
204,005690,파미셀,"9,660","30","0.3","5,757,190","56,157,817,710","9,400","10,050","9,070","579,203,457,000","0.05","59,958,950",,,
205,036540,SFA반도체,"3,895","-300","-7.2","8,119,638","32,094,000,010","3,980","4,055","3,840","578,747,486,760","0.05","148,587,288",,,
206,139130,DGB금융지주,"3,420","-300","-8.1","1,175,158","4,053,309,245","3,485","3,550","3,400","578,478,748,860","0.05","169,145,833",,,
207,060250,NHN한국사이버결제,"24,950","-250","-1.0","686,203","16,818,995,950","24,100","25,650","23,300","573,136,255,350","0.05","22,971,393",,,
208,090435,아모레퍼시픽우,"54,000","-3,600","-6.2","16,981","924,907,300","55,000","55,800","52,700","570,122,820,000","0.05","10,557,830",,,
209,010780,아이에스동서,"18,450","-1,500","-7.5","151,615","2,782,057,750","18,050","19,500","17,500","569,968,580,700","0.05","30,892,606",,,
210,120110,코오롱인더,"21,100","-2,350","-10.0","188,886","4,015,634,600","21,250","21,850","20,850","569,253,524,000","0.05","26,978,840",,,
211,003240,태광산업,"506,000","-73,000","-12.6","2,480","1,280,114,000","538,000","538,000","505,000","563,380,400,000","0.05","1,113,400",,,
212,003230,삼양식품,"74,400","-2,100","-2.8","50,196","3,715,180,500","72,500","76,300","71,200","560,456,316,000","0.05","7,533,015",,,
213,016380,동부제철,"5,590","-320","-5.4","7,471","41,107,040","5,500","5,900","5,390","559,049,734,230","0.05","100,008,897",,,
214,170900,동아에스티,"66,200","-5,000","-7.0","42,421","2,816,052,100","66,500","68,900","64,000","558,984,061,600","0.05","8,443,868",,,
215,011210,현대위아,"20,500","-3,000","-12.8","264,304","5,503,727,100","21,200","21,850","20,100","557,499,201,500","0.05","27,195,083",,,
216,039030,이오테크닉스,"45,150","-3,850","-7.9","397,576","17,910,525,300","44,550","47,200","43,400","556,227,682,500","0.05","12,319,550",,,
217,035900,JYP Ent.,"15,350","-2,350","-13.3","700,621","11,153,702,900","16,500","16,750","15,200","544,848,127,200","0.05","35,494,992",,,
218,005290,동진쎄미켐,"10,550","-1,050","-9.0","1,899,765","20,238,397,800","10,600","11,200","10,300","542,422,911,700","0.05","51,414,494",,,
219,057050,현대홈쇼핑,"45,050","-3,450","-7.1","75,562","3,355,680,200","44,250","46,450","43,200","540,600,000,000","0.05","12,000,000",,,
220,023590,다우기술,"11,800","-1,300","-9.9","256,047","3,037,425,050","12,050","12,300","11,550","529,426,080,600","0.05","44,866,617",,,
221,007570,일양약품,"27,650","-150","-0.5","1,914,184","54,364,761,500","26,250","29,950","26,250","527,718,609,600","0.05","19,085,664",,,
222,042670,두산인프라코어,"2,535","-255","-9.1","3,332,863","8,532,410,935","2,580","2,680","2,510","527,688,842,265","0.05","208,161,279",,,
223,033660,아주캐피탈,"9,160","-890","-8.9","63,414","590,215,310","9,760","9,800","9,050","527,120,352,400","0.05","57,545,890",,,
224,034310,NICE,"13,900","-550","-3.8","106,564","1,484,006,850","13,600","14,250","13,100","526,563,970,000","0.05","37,882,300",,,
225,272210,한화시스템,"4,730","-420","-8.2","657,949","3,136,653,175","4,800","4,895","4,670","521,389,739,970","0.04","110,230,389",,,
226,000250,삼천당제약,"23,550","-1,400","-5.6","1,105,125","25,745,310,700","22,600","24,700","22,200","520,591,896,150","0.04","22,105,813",,,
227,032350,롯데관광개발,"7,500","-450","-5.7","365,651","2,752,102,450","7,440","7,900","7,000","519,567,465,000","0.04","69,275,662",,,
228,039200,오스코텍,"17,600","-1,500","-7.8","477,274","8,515,418,300","18,200","18,400","17,350","513,925,473,600","0.04","29,200,311",,,
229,049770,동원F&B,"131,500","-8,500","-6.1","14,557","1,890,380,000","131,500","134,000","127,000","507,474,806,000","0.04","3,859,124",,,
230,069260,휴켐스,"12,250","-950","-7.2","144,004","1,774,638,500","12,500","13,000","12,100","500,762,703,000","0.04","40,878,588",,,
231,052690,한전기술,"13,100","-900","-6.4","108,968","1,427,009,800","13,050","13,450","12,850","500,682,000,000","0.04","38,220,000",,,
232,078130,국일제지,"4,020","-230","-5.4","7,015,870","28,754,636,605","4,010","4,360","3,980","496,764,171,540","0.04","123,573,177",,,
233,018250,애경산업,"18,800","-1,500","-7.4","134,311","2,541,933,500","18,800","19,600","18,500","496,506,778,000","0.04","26,409,935",,,
234,005440,현대그린푸드,"5,070","-180","-3.4","407,072","2,052,875,440","4,890","5,170","4,860","495,361,723,740","0.04","97,704,482",,,
235,241590,화승엔터프라이즈,"8,150","-980","-10.7","567,862","4,594,391,810","8,500","8,500","7,750","493,373,860,500","0.04","60,536,670",,,
236,950160,코오롱티슈진,"8,010","0","0.0","0","0","0","0","0","489,551,575,500","0.04","61,117,550",,,
237,090460,비에이치,"14,900","-1,200","-7.4","1,037,935","15,424,225,700","14,650","15,550","14,400","489,478,261,000","0.04","32,850,890",,,
238,008060,대덕전자,"6,200","-560","-8.3","570,082","3,561,996,800","6,300","6,470","6,100","483,643,226,400","0.04","78,006,972",,,
239,001680,대상,"13,750","-750","-5.2","192,251","2,632,880,800","13,700","14,000","13,250","476,410,343,750","0.04","34,648,025",,,
240,336370,두산솔루스,"15,550","-750","-4.6","448,821","6,920,107,250","15,000","16,450","14,600","475,670,736,900","0.04","30,589,758",,,
241,151910,나노스,"3,200","-100","-3.0","100,970","319,606,095","3,300","3,445","3,085","475,601,110,400","0.04","148,625,347",,,
242,307950,현대오토에버,"22,600","-1,750","-7.2","41,596","944,268,350","22,500","23,100","22,150","474,600,000,000","0.04","21,000,000",,,
243,214150,클래시스,"7,290","-400","-5.2","482,909","3,408,152,100","6,940","7,670","6,460","471,729,834,720","0.04","64,709,168",,,
244,237690,에스티팜,"25,250","-2,200","-8.0","403,190","10,762,153,500","26,500","28,350","25,250","471,064,000,000","0.04","18,656,000",,,
245,067160,아프리카TV,"40,850","-2,150","-5.0","122,456","4,948,991,450","40,600","41,900","39,000","469,561,231,950","0.04","11,494,767",,,
246,192400,쿠쿠홀딩스,"65,800","-5,100","-7.2","9,987","666,903,500","65,300","69,800","64,900","467,998,354,600","0.04","7,112,437",,,
247,022100,포스코 ICT,"3,070","-310","-9.2","721,172","2,204,246,970","3,020","3,170","3,000","466,746,618,030","0.04","152,034,729",,,
248,093370,후성,"5,010","-280","-5.3","1,330,328","6,700,536,385","4,900","5,230","4,885","463,960,163,190","0.04","92,606,819",,,
249,006040,동원산업,"125,500","-5,000","-3.8","6,431","792,025,500","126,000","126,500","118,500","461,543,945,500","0.04","3,677,641",,,
250,018670,SK가스,"49,200","-5,200","-9.6","27,151","1,351,834,200","49,850","51,300","48,900","449,775,625,200","0.04","9,141,781",,,
251,000150,두산,"27,050","-900","-3.2","110,420","2,986,144,150","27,500","27,500","26,400","446,969,736,750","0.04","16,523,835",,,
252,267980,매일유업,"56,600","-5,300","-8.6","50,525","2,872,902,100","58,100","58,800","56,000","443,949,910,800","0.04","7,843,638",,,
253,235980,메드팩토,"43,950","-3,300","-7.0","404,484","18,015,908,750","43,850","45,850","43,050","443,781,652,950","0.04","10,097,421",,,
