순위,종목코드,종목명,현재가,대비,등락률,거래량,거래대금,시가,고가,저가,시가총액,시가총액비중(%),상장주식수,외국인 보유주식수,외국인 지분율(%),총카운트
569,005810,풍산홀딩스,"20,950","50","0.2","15,446","316,199,700","20,100","21,350","19,850","164,146,748,650","0.01","7,835,167",,,
570,183190,아세아시멘트,"41,850","-2,950","-6.6","8,730","370,929,850","42,100","43,950","41,500","163,039,606,650","0.01","3,895,809",,,
571,078520,에이블씨엔씨,"6,000","-440","-6.8","71,155","433,998,040","6,170","6,370","5,920","162,200,754,000","0.01","27,033,459",,,
572,005070,코스모신소재,"5,520","-260","-4.5","862,934","4,829,543,770","5,210","6,080","5,160","161,448,766,800","0.01","29,247,965",,,
573,236200,슈프리마,"22,400","-1,500","-6.3","242,902","5,266,586,850","21,650","22,600","20,950","161,129,315,200","0.01","7,193,273",,,
574,089600,나스미디어,"18,400","-2,050","-10.0","105,153","1,956,401,450","19,200","19,300","18,000","161,086,314,400","0.01","8,754,691",,,
575,138250,엔에스쇼핑,"4,770","-580","-10.8","777,063","4,027,682,830","4,950","5,590","4,770","160,729,920,000","0.01","33,696,000",,,
576,002990,금호산업,"4,450","-55","-1.2","383,163","1,716,342,435","4,230","4,670","4,190","160,357,303,050","0.01","36,035,349",,,
577,015750,성우하이텍,"2,000","-260","-11.5","567,568","1,146,624,365","2,060","2,140","1,990","160,000,000,000","0.01","80,000,000",,,
578,030610,교보증권,"4,440","-510","-10.3","362,994","1,630,059,675","4,590","4,640","4,400","159,840,000,000","0.01","36,000,000",,,
579,005720,넥센,"2,985","-320","-9.7","183,852","550,614,900","3,100","3,215","2,920","159,828,771,345","0.01","53,543,977",,,
580,004380,삼익THK,"7,590","-710","-8.6","46,220","356,197,650","8,190","8,190","7,490","159,390,000,000","0.01","21,000,000",,,
581,030520,한글과컴퓨터,"6,500","-310","-4.6","235,962","1,543,976,650","6,320","6,740","6,320","158,862,073,500","0.01","24,440,319",,,
582,140860,파크시스템스,"23,750","-1,750","-6.9","109,668","2,586,354,000","23,700","24,900","21,500","158,295,056,250","0.01","6,665,055",,,
583,288330,브릿지바이오테라퓨틱스,"25,050","-2,250","-8.2","88,232","2,217,463,700","25,050","26,100","24,600","158,292,402,900","0.01","6,319,058",,,
584,123890,한국자산신탁,"1,400","-110","-7.3","978,763","1,377,498,335","1,460","1,465","1,380","157,994,551,400","0.01","112,853,251",,,
585,003545,대신증권우,"6,070","-450","-6.9","145,432","885,814,820","6,070","6,320","6,030","157,820,000,000","0.01","26,000,000",,,
586,015360,예스코홀딩스,"26,300","-850","-3.1","5,710","149,099,950","26,200","26,400","26,000","157,800,000,000","0.01","6,000,000",,,
587,123690,한국화장품,"9,800","-750","-7.1","495,215","4,907,949,660","9,900","10,200","9,710","157,466,400,000","0.01","16,068,000",,,
588,023160,태광,"5,930","-850","-12.5","115,750","693,320,640","6,010","6,360","5,850","157,145,000,000","0.01","26,500,000",,,
589,001500,현대차증권,"5,340","-370","-6.5","182,294","985,521,240","5,330","5,550","5,300","156,660,172,740","0.01","29,337,111",,,
590,031330,에스에이엠티,"1,565","-110","-6.6","1,063,360","1,654,670,465","1,540","1,600","1,500","156,492,279,855","0.01","99,995,067",,,
591,081000,일진다이아,"11,000","-1,250","-10.2","285,155","3,177,227,050","11,400","11,600","10,800","156,232,725,000","0.01","14,202,975",,,
592,011040,경동제약,"5,880","-420","-6.7","66,769","398,380,380","5,850","6,080","5,850","156,114,000,000","0.01","26,550,000",,,
593,026890,디피씨,"3,745","-335","-8.2","2,837,711","10,751,858,305","3,825","3,925","3,645","156,084,765,375","0.01","41,678,175",,,
594,225570,넷게임즈,"5,370","-530","-9.0","96,844","537,177,110","5,820","5,820","5,330","154,864,527,840","0.01","28,838,832",,,
595,168490,한국패러랠,"1,935","15","0.8","158,746","310,244,485","1,940","2,040","1,935","154,838,700,000","0.01","80,020,000",,,
596,001130,대한제분,"91,500","-2,900","-3.1","2,540","226,515,800","88,200","92,400","85,800","154,635,000,000","0.01","1,690,000",,,
597,018120,진로발효,"23,300","-150","-0.6","14,319","329,973,900","22,150","24,800","22,150","154,272,096,000","0.01","6,621,120",,,
598,065950,웰크론,"5,450","130","2.4","7,316,606","39,875,706,240","5,320","5,750","5,150","153,860,595,900","0.01","28,231,302",,,
599,199800,툴젠,"23,600","-3,150","-11.8","9,858","233,223,000","24,350","25,750","22,900","153,783,476,400","0.01","6,516,249",,,
600,017940,E1,"22,400","-4,200","-15.8","65,105","1,494,660,550","24,000","24,300","22,350","153,664,000,000","0.01","6,860,000",,,
601,053980,오상자이엘,"8,650","-380","-4.2","6,489,848","60,149,933,300","8,890","9,890","8,330","153,519,179,300","0.01","17,747,882",,,
602,002030,아세아,"69,600","-3,100","-4.3","5,480","374,590,400","70,800","71,300","66,200","152,495,270,400","0.01","2,191,024",,,
603,092230,KPX홀딩스,"35,800","-3,200","-8.2","1,711","61,895,200","36,600","36,650","35,800","151,242,326,800","0.01","4,224,646",,,
604,011280,태림포장,"2,135","-145","-6.4","793,445","1,717,963,675","2,100","2,260","2,080","151,170,681,900","0.01","70,805,940",,,
605,003570,S&T중공업,"4,510","-90","-2.0","28,933","130,182,295","4,460","4,540","4,435","149,969,663,470","0.01","33,252,697",,,
606,031440,신세계푸드,"38,700","-4,000","-9.4","19,621","766,108,050","40,000","40,000","38,450","149,864,976,000","0.01","3,872,480",,,
607,001940,KISCO홀딩스,"8,030","-410","-4.9","8,718","70,544,490","8,000","8,310","7,990","148,365,331,400","0.01","18,476,380",,,
608,035810,이지바이오,"2,560","-205","-7.4","1,098,688","2,805,463,990","2,510","2,670","2,455","148,294,018,560","0.01","57,927,351",,,
609,317330,덕산테코피아,"8,000","-710","-8.2","159,196","1,247,711,300","7,800","8,250","7,340","147,019,424,000","0.01","18,377,428",,,
610,052710,아모텍,"15,050","-1,700","-10.2","194,369","2,943,515,150","15,100","15,800","14,700","146,638,260,300","0.01","9,743,406",,,
611,009580,무림P&P,"2,340","-235","-9.1","314,920","748,247,510","2,395","2,470","2,255","145,941,878,160","0.01","62,368,324",,,
612,049180,셀루메드,"5,980","0","0.0","0","0","0","0","0","145,526,284,020","0.01","24,335,499",,,
613,000430,대원강업,"2,345","-135","-5.4","20,451","48,638,260","2,460","2,460","2,335","145,390,000,000","0.01","62,000,000",,,
614,080160,모두투어,"7,690","-740","-8.8","442,388","3,353,209,560","7,700","8,090","7,170","145,341,000,000","0.01","18,900,000",,,
615,321550,티움바이오,"6,140","-260","-4.1","337,429","2,087,326,360","5,810","6,620","5,800","144,043,331,640","0.01","23,459,826",,,
616,078600,대주전자재료,"9,750","-900","-8.4","360,182","3,516,276,740","9,560","10,450","9,400","143,686,978,500","0.01","14,737,126",,,
617,068930,디지털대성,"6,360","-120","-1.8","131,819","835,854,840","6,250","6,430","6,010","143,463,938,280","0.01","22,557,223",,,
618,012690,모나리자,"3,920","-175","-4.3","2,463,663","9,954,390,740","4,075","4,240","3,815","143,359,319,600","0.01","36,571,255",,,
619,121800,비덴트,"4,215","-110","-2.5","969,052","4,072,347,790","3,975","4,570","3,855","143,274,269,445","0.01","33,991,523",,,
620,00104K,CJ4우(전환),"33,800","-3,700","-9.9","65,859","2,224,688,100","35,100","36,050","33,000","142,856,105,600","0.01","4,226,512",,,
621,003560,IHQ,"970","-55","-5.4","1,216,527","1,161,478,155","989","989","930","141,848,675,560","0.01","146,235,748",,,
622,161000,애경유화,"4,420","-235","-5.0","126,779","558,803,635","4,400","4,490","4,295","141,616,800,000","0.01","32,040,000",,,
623,039440,에스티아이,"8,940","-960","-9.7","430,651","3,906,346,150","9,130","9,360","8,840","141,520,200,000","0.01","15,830,000",,,
624,161580,필옵틱스,"7,520","-580","-7.2","470,098","3,538,041,700","7,450","7,990","7,200","141,279,240,160","0.01","18,787,133",,,
625,051500,CJ프레시웨이,"11,900","-1,300","-9.8","121,663","1,427,696,850","12,000","12,150","11,300","141,271,873,400","0.01","11,871,586",,,
626,217730,강스템바이오텍,"6,710","50","0.8","4,808,944","33,950,253,630","6,610","7,640","6,410","140,772,022,270","0.01","20,979,437",,,
627,001270,부국증권,"13,550","-1,450","-9.7","10,968","151,066,950","14,500","14,600","13,250","140,511,955,300","0.01","10,369,886",,,
628,094280,효성ITX,"12,150","100","0.8","60,932","733,552,650","11,650","12,350","11,450","140,432,130,000","0.01","11,558,200",,,
629,000020,동화약품,"5,020","-170","-3.3","134,269","675,390,010","4,900","5,170","4,850","140,215,979,400","0.01","27,931,470",,,
630,088290,이원컴포텍,"8,220","1,230","17.6","1,170,774","9,052,468,270","6,890","8,760","6,840","140,133,458,520","0.01","17,047,866",,,
631,064260,다날,"2,265","-160","-6.6","1,997,193","4,598,970,395","2,290","2,375","2,240","139,991,663,610","0.01","61,806,474",,,
632,206650,유바이오로직스,"5,210","-40","-0.8","327,478","1,710,604,560","5,000","5,480","4,885","139,588,888,530","0.01","26,792,493",,,
633,243840,신흥에스이씨,"20,700","-750","-3.5","152,976","3,049,940,750","19,100","21,550","18,750","139,150,057,500","0.01","6,722,225",,,
634,067900,와이엔텍,"7,630","-280","-3.5","247,946","1,868,986,220","7,510","7,870","7,210","138,863,398,170","0.01","18,199,659",,,
635,042520,한스바이오메드,"14,000","50","0.4","143,376","1,959,435,600","12,800","14,150","12,500","138,634,356,000","0.01","9,902,454",,,
636,027390,한화갤러리아타임월드,"23,100","0","0.0","0","0","0","0","0","138,603,026,100","0.01","6,000,131",,,
637,293780,압타바이오,"12,700","-900","-6.6","236,398","3,019,830,150","12,500","13,300","12,350","138,198,009,100","0.01","10,881,733",,,
638,226950,올릭스,"21,100","-450","-2.1","161,103","3,535,878,300","20,500","23,200","20,050","137,802,433,100","0.01","6,530,921",,,
639,016710,대성홀딩스,"8,550","-30","-0.4","26,955","227,684,390","8,510","8,550","8,390","137,564,874,450","0.01","16,089,459",,,
640,900140,엘브이엠씨홀딩스,"2,690","-130","-4.6","343,302","921,735,960","2,700","2,785","2,585","137,513,980,910","0.01","51,120,439",,,
641,080420,모다이노칩,"1,715","-185","-9.7","298,902","496,507,550","1,750","1,750","1,585","136,722,581,730","0.01","79,721,622",,,
642,950110,SBI핀테크솔루션즈,"5,540","-620","-10.1","63,540","350,789,990","5,710","5,800","5,300","136,597,231,600","0.01","24,656,540",,,
643,023910,대한약품,"22,700","-950","-4.0","35,284","799,237,150","22,150","23,200","21,950","136,200,000,000","0.01","6,000,000",,,
644,003070,코오롱글로벌,"5,380","-260","-4.6","33,480","177,324,940","5,250","5,440","5,200","135,632,156,440","0.01","25,210,438",,,
645,300120,라온피플,"13,100","-1,250","-8.7","200,252","2,625,926,150","13,500","13,750","12,700","135,302,773,600","0.01","10,328,456",,,
646,131370,알서포트,"2,540","45","1.8","6,809,097","17,568,958,625","2,415","2,725","2,405","135,298,390,820","0.01","53,267,083",,,
647,005960,동부건설,"6,190","-370","-5.6","49,697","309,153,030","6,390","6,390","6,020","135,119,423,970","0.01","21,828,663",,,
648,007810,코리아써키트,"5,720","-510","-8.2","290,753","1,665,149,040","5,770","6,030","5,520","135,110,695,720","0.01","23,620,751",,,
649,068290,삼성출판사,"13,500","350","2.7","712,896","9,738,784,200","12,100","15,450","11,850","135,000,000,000","0.01","10,000,000",,,
650,035890,서희건설,"649","-66","-9.2","3,696,587","2,397,867,161","676","677","636","134,395,691,012","0.01","207,081,188",,,
651,067280,멀티캠퍼스,"22,600","-500","-2.2","13,895","305,410,250","21,950","23,050","21,550","133,945,205,400","0.01","5,926,779",,,
652,289080,SV인베스트먼트,"2,505","-75","-2.9","43,505,794","116,627,495,340","2,585","2,880","2,405","133,351,170,000","0.01","53,234,000",,,
653,002620,제일파마홀딩스,"8,340","-490","-5.6","7,985","66,654,120","8,210","8,750","8,150","133,217,780,700","0.01","15,973,355",,,
654,045100,한양이엔지,"7,400","-1,010","-12.0","181,930","1,369,191,240","7,800","7,890","7,330","133,200,000,000","0.01","18,000,000",,,
655,001200,유진투자증권,"1,370","-30","-2.1","866,389","1,175,493,500","1,310","1,405","1,275","132,706,992,660","0.01","96,866,418",,,
656,002100,경농,"6,090","-310","-4.8","99,408","601,232,670","6,010","6,280","5,760","132,102,757,500","0.01","21,691,750",,,
657,063570,한국전자금융,"3,865","-500","-11.4","249,464","968,308,985","3,995","4,025","3,785","131,980,968,720","0.01","34,147,728",,,
658,074430,아미노로직스,"1,500","325","27.7","2,456,396","3,182,036,510","1,090","1,500","1,040","131,740,266,000","0.01","87,826,844",,,
659,078150,HB테크놀러지,"1,665","-160","-8.8","2,476,923","4,228,023,150","1,675","1,740","1,645","131,519,059,290","0.01","78,990,426",,,
660,201490,미투온,"4,205","105","2.6","1,867,848","7,890,712,350","3,900","4,545","3,870","131,438,922,850","0.01","31,257,770",,,
661,004360,세방,"6,800","-200","-2.9","34,835","237,690,640","6,500","6,990","6,500","131,299,092,000","0.01","19,308,690",,,
662,044450,KSS해운,"5,640","-300","-5.0","49,897","279,285,130","5,510","5,880","5,510","130,768,363,200","0.01","23,185,880",,,
663,027050,코리아나,"3,265","-235","-6.7","722,927","2,369,859,335","3,300","3,380","3,170","130,600,000,000","0.01","40,000,000",,,
664,222800,심텍,"5,730","-930","-14.0","770,299","4,377,434,730","5,800","6,100","5,390","130,374,455,070","0.01","22,752,959",,,
665,007820,에스엠코어,"6,500","-600","-8.4","184,898","1,220,388,140","6,670","6,970","6,300","130,220,649,000","0.01","20,033,946",,,
666,016450,한세예스24홀딩스,"3,250","-250","-7.1","29,914","98,463,675","3,255","3,450","3,210","130,000,000,000","0.01","40,000,000",,,
667,244460,올리패스,"8,140","-990","-10.8","155,932","1,282,770,380","8,730","8,800","7,910","129,987,668,140","0.01","15,969,001",,,
668,005420,코스모화학,"4,975","-285","-5.4","724,954","3,639,975,140","4,885","5,390","4,740","129,901,354,375","0.01","26,110,825",,,
669,033500,동성화인텍,"4,810","-330","-6.4","292,384","1,383,978,545","4,700","4,890","4,530","129,791,159,290","0.01","26,983,609",,,
670,046440,KG모빌리언스,"3,340","-90","-2.6","247,278","799,063,280","3,160","3,395","3,085","129,677,397,120","0.01","38,825,568",,,
671,035510,신세계 I&C,"75,100","-1,100","-1.4","6,159","460,420,400","73,500","76,400","71,900","129,172,000,000","0.01","1,720,000",,,
672,208340,파멥신,"18,650","-950","-4.8","88,689","1,666,164,750","18,050","19,750","18,050","128,886,587,850","0.01","6,910,809",,,
673,282690,동아타이어,"9,360","-290","-3.0","2,759","25,871,910","9,420","9,420","9,130","128,541,020,400","0.01","13,733,015",,,
674,282880,코윈테크,"14,050","-1,200","-7.9","234,301","3,272,252,000","13,650","14,800","13,100","128,102,940,350","0.01","9,117,647",,,
675,136540,윈스,"10,550","-300","-2.8","103,710","1,064,365,400","10,100","10,700","9,990","128,072,389,650","0.01","12,139,563",,,
676,102940,코오롱생명과학,"11,200","-1,200","-9.7","208,162","2,389,442,050","11,300","12,000","11,000","127,818,387,200","0.01","11,412,356",,,
677,029460,케이씨,"9,420","-980","-9.4","69,108","659,514,420","9,770","9,790","9,340","127,679,094,480","0.01","13,554,044",,,
678,104700,한국철강,"2,770","-125","-4.3","60,336","166,558,835","2,725","2,835","2,710","127,558,500,000","0.01","46,050,000",,,
679,067990,도이치모터스,"4,540","-385","-7.8","602,710","2,764,554,400","4,480","4,870","4,375","127,289,546,300","0.01","28,037,345",,,
680,049070,인탑스,"7,400","-700","-8.6","197,951","1,462,944,990","7,550","7,590","7,200","127,280,000,000","0.01","17,200,000",,,
681,063160,종근당바이오,"23,150","-950","-3.9","41,772","967,064,250","22,550","23,900","22,500","127,000,020,300","0.01","5,485,962",,,
682,104480,티케이케미칼,"1,385","-65","-4.5","1,473,734","2,034,145,520","1,375","1,440","1,335","125,890,176,090","0.01","90,895,434",,,
683,125210,아모그린텍,"7,600","-720","-8.6","220,847","1,682,772,760","7,610","8,170","7,100","125,375,604,000","0.01","16,496,790",,,
684,004710,한솔테크닉스,"3,890","-500","-11.4","571,291","2,233,370,175","3,905","4,070","3,795","124,907,425,420","0.01","32,109,878",,,
685,089980,상아프론테크,"8,080","-660","-7.6","249,797","2,019,822,330","8,190","8,410","7,830","124,842,342,800","0.01","15,450,785",,,
686,270870,뉴트리,"13,750","-250","-1.8","118,402","1,604,100,000","13,000","14,200","12,950","124,749,955,000","0.01","9,072,724",,,
687,071055,한국금융지주우,"21,200","-3,750","-15.0","85,237","1,832,322,600","24,200","24,200","20,700","124,194,921,200","0.01","5,858,251",,,
688,067080,대화제약,"6,800","20","0.3","432,375","3,140,112,450","6,500","8,500","6,210","123,929,823,200","0.01","18,224,974",,,
689,234340,세틀뱅크,"13,350","-500","-3.6","293,818","3,905,863,150","12,500","14,000","12,200","123,714,450,000","0.01","9,267,000",,,
690,102460,이연제약,"7,360","-430","-5.5","89,745","654,241,480","7,220","7,500","7,080","123,427,200,000","0.01","16,770,000",,,
691,228850,레이언스,"7,430","-790","-9.6","36,148","266,738,190","7,700","7,700","7,200","123,271,234,020","0.01","16,591,014",,,
692,143160,아이디스,"11,450","-950","-7.7","62,242","707,987,550","11,250","11,900","10,950","122,702,665,500","0.01","10,716,390",,,
693,222080,씨아이에스,"2,175","-275","-11.2","5,054,248","11,087,933,465","2,210","2,380","2,065","122,521,199,550","0.01","56,331,586",,,
694,241820,피씨엘,"12,850","-450","-3.4","1,480,151","19,332,751,150","13,750","13,950","12,000","122,441,186,450","0.01","9,528,497",,,
695,298690,에어부산,"2,350","-95","-3.9","1,122,214","2,756,949,480","2,240","2,870","2,110","122,364,500,000","0.01","52,070,000",,,
696,138360,에이씨티,"4,480","0","0.0","0","0","0","0","0","122,161,688,320","0.01","27,268,234",,,
697,039560,다산네트웍스,"3,800","-350","-8.4","686,576","2,628,443,810","3,800","3,970","3,730","121,897,494,400","0.01","32,078,288",,,
698,050110,캠시스,"1,805","-115","-6.0","3,596,949","6,410,073,215","1,750","1,850","1,725","121,567,865,490","0.01","67,350,618",,,
699,028100,동아지질,"10,550","-800","-7.0","230,598","2,469,083,900","10,550","11,150","10,250","121,325,000,000","0.01","11,500,000",,,
700,009160,SIMPAC,"1,845","-125","-6.4","136,036","251,719,635","1,875","1,890","1,800","120,717,457,020","0.01","65,429,516",,,
701,053610,프로텍,"10,950","-400","-3.5","109,974","1,182,242,250","10,700","11,150","10,450","120,450,000,000","0.01","11,000,000",,,
702,005090,삼광글라스,"24,800","-1,750","-6.6","37,354","928,937,200","25,750","25,750","24,300","120,389,566,400","0.01","4,854,418",,,
703,036030,KTH,"3,370","-305","-8.3","164,729","562,992,230","3,495","3,510","3,365","120,359,624,140","0.01","35,715,022",,,
704,115180,큐리언트,"13,950","-150","-1.1","167,196","2,454,616,700","15,250","15,800","13,800","120,326,645,700","0.01","8,625,566",,,
705,166480,코아스템,"7,650","-960","-11.2","743,826","5,812,799,640","8,000","8,280","7,210","120,238,416,000","0.01","15,717,440",,,
706,000970,한국주철관,"5,250","-340","-6.1","54,743","287,518,000","5,210","5,470","5,170","119,702,625,000","0.01","22,800,500",,,
707,084690,대상홀딩스,"3,295","-195","-5.6","101,304","330,507,060","3,250","3,340","3,230","119,320,312,710","0.01","36,212,538",,,
708,074610,나노메딕스,"3,200","-280","-8.0","1,041,844","3,341,026,775","3,200","3,300","3,150","119,110,134,400","0.01","37,221,917",,,
709,036630,세종텔레콤,"198","-15","-7.0","5,099,333","1,029,038,525","205","206","198","118,864,572,948","0.01","600,326,126",,,
710,036190,금화피에스시,"19,800","-1,200","-5.7","5,519","108,814,500","19,550","20,550","18,700","118,800,000,000","0.01","6,000,000",,,
711,101530,해태제과식품,"4,080","80","2.0","63,960","257,697,275","3,800","4,260","3,750","118,796,633,760","0.01","29,116,822",,,
712,067290,JW신약,"2,850","-125","-4.2","1,187,692","3,528,240,445","2,775","3,240","2,685","118,751,423,100","0.01","41,667,166",,,
713,950130,엑세스바이오,"3,535","-155","-4.2","7,260,171","27,457,504,645","3,655","3,965","3,360","118,697,024,565","0.01","33,577,659",,,
714,171120,라이온켐텍,"6,460","-240","-3.6","56,298","369,212,750","6,900","6,900","6,460","118,596,155,480","0.01","18,358,538",,,
715,136490,선진,"4,980","-530","-9.6","85,377","425,989,055","5,260","5,260","4,950","118,422,427,920","0.01","23,779,604",,,
716,225530,보광산업,"3,275","-85","-2.5","77,996","248,902,335","3,130","3,335","3,080","118,262,978,075","0.01","36,110,833",,,
717,238090,앤디포스,"2,320","-95","-3.9","973,181","2,169,577,710","2,260","2,355","2,050","118,086,301,760","0.01","50,899,268",,,
718,070960,용평리조트,"2,450","-200","-7.6","730,171","1,775,827,750","2,470","2,530","2,350","117,926,665,850","0.01","48,133,333",,,
719,000370,한화손해보험,"1,010","-15","-1.5","856,654","853,138,824","950","1,060","949","117,906,304,150","0.01","116,738,915",,,
720,005680,삼영전자,"5,890","-390","-6.2","62,399","372,211,540","5,910","6,120","5,810","117,800,000,000","0.01","20,000,000",,,
721,256630,포인트엔지니어링,"2,090","45","2.2","720,487","1,511,451,575","1,850","2,325","1,790","117,495,488,330","0.01","56,217,937",,,
722,004960,한신공영,"10,150","-50","-0.5","31,598","305,319,050","10,000","10,150","9,200","117,442,625,300","0.01","11,570,702",,,
723,251970,펌텍코리아,"9,450","-1,150","-10.8","62,883","608,023,980","9,930","9,990","9,370","117,180,000,000","0.01","12,400,000",,,
724,014620,성광벤드,"4,095","-605","-12.9","296,829","1,252,904,370","4,390","4,400","4,070","117,117,000,000","0.01","28,600,000",,,
725,001790,대한제당,"13,200","-1,100","-7.7","19,560","260,201,450","14,200","14,200","13,000","116,688,026,400","0.01","8,840,002",,,
726,079430,현대리바트,"5,680","-530","-8.5","133,790","764,745,730","5,830","5,980","5,570","116,640,401,760","0.01","20,535,282",,,
727,082800,루미마이크로,"940","-70","-6.9","1,463,516","1,376,500,799","911","976","905","116,473,644,080","0.01","123,908,132",,,
728,089970,에이피티씨,"5,000","-430","-7.9","225,693","1,150,987,640","5,080","5,560","4,870","116,172,975,000","0.01","23,234,595",,,
729,054780,키이스트,"1,360","-150","-9.9","2,714,439","3,789,427,830","1,400","1,440","1,355","116,085,290,160","0.01","85,356,831",,,
730,232140,와이아이케이,"1,825","-135","-6.9","366,816","655,445,755","1,805","1,865","1,725","115,917,464,675","0.01","63,516,419",,,
731,299660,셀리드,"12,100","-1,000","-7.6","103,593","1,276,965,750","12,050","12,850","12,000","115,902,173,200","0.01","9,578,692",,,
732,002020,코오롱,"9,150","-640","-6.5","36,183","332,155,460","8,940","9,450","8,940","115,531,797,900","0.01","12,626,426",,,
733,078590,두올산업,"1,630","-110","-6.3","1,929,144","3,126,833,515","1,640","1,665","1,570","115,527,373,070","0.01","70,875,689",,,
734,006620,동구바이오제약,"12,000","500","4.4","347,085","4,052,427,750","10,900","12,650","10,750","115,248,000,000","0.01","9,604,000",,,
735,065530,전파기지국,"2,180","-205","-8.6","672,564","1,484,024,315","2,185","2,290","2,155","115,234,800,000","0.01","52,860,000",,,
736,214390,경보제약,"4,810","-280","-5.5","83,171","403,800,265","4,705","5,090","4,700","114,991,996,600","0.01","23,906,860",,,
737,152550,한국ANKOR유전,"1,640","40","2.5","71,570","111,893,730","1,560","1,650","1,545","114,832,800,000","0.01","70,020,000",,,
738,041140,넥슨지티,"3,230","-470","-12.7","306,754","998,171,175","3,400","3,400","3,150","114,255,830,060","0.01","35,373,322",,,
739,061250,화일약품,"6,600","1,520","29.9","2,219,824","14,089,548,730","6,050","6,600","6,030","114,134,783,400","0.01","17,293,149",,,
740,057500,SKC 솔믹스,"1,855","-120","-6.1","247,117","454,862,440","1,855","1,880","1,815","114,071,444,200","0.01","61,494,040",,,
741,003555,LG우,"34,150","-2,950","-8.0","15,350","527,640,700","36,200","36,200","33,900","113,196,219,550","0.01","3,314,677",,,
742,258610,이더블유케이,"11,700","-400","-3.3","71,673","818,621,450","11,500","11,850","11,000","113,173,444,800","0.01","9,672,944",,,
743,128820,대성산업,"2,500","-170","-6.4","80,614","204,053,140","2,545","2,635","2,460","113,088,695,000","0.01","45,235,478",,,
744,277880,티에스아이,"14,500","-450","-3.0","100","1,450,000","14,500","14,500","14,500","112,951,592,500","0.01","7,789,765",,,
745,123420,선데이토즈,"11,800","-200","-1.7","256,074","2,978,573,450","11,200","12,350","10,800","112,924,135,600","0.01","9,569,842",,,
746,024090,디씨엠,"9,620","-230","-2.3","16,225","155,713,700","9,800","9,800","9,510","112,554,000,000","0.01","11,700,000",,,
747,214180,민앤지,"8,870","-170","-1.9","267,650","2,342,232,990","8,360","9,240","8,310","112,493,562,120","0.01","12,682,476",,,
748,009460,한창제지,"1,885","-10","-0.5","12,442,990","23,905,976,410","1,745","2,045","1,730","112,473,211,110","0.01","59,667,486",,,
749,179900,유티아이,"7,060","-920","-11.5","235,131","1,681,850,570","7,130","7,480","6,970","112,006,158,700","0.01","15,864,895",,,
750,200670,휴메딕스,"11,200","-500","-4.3","67,075","730,257,500","10,700","11,300","10,500","111,677,372,800","0.01","9,971,194",,,
751,000390,삼화페인트,"4,220","5","0.1","69,611","288,382,120","4,090","4,240","4,065","111,571,529,220","0.01","26,438,751",,,
752,079980,휴비스,"3,230","-170","-5.0","316,568","1,030,364,160","3,160","3,390","3,100","111,435,000,000","0.01","34,500,000",,,
753,002170,삼양통상,"37,100","-3,900","-9.5","7,813","295,143,950","38,450","39,100","37,000","111,300,000,000","0.01","3,000,000",,,
754,041190,우리기술투자,"1,325","-45","-3.3","1,829,416","2,345,022,155","1,240","1,345","1,230","111,300,000,000","0.01","84,000,000",,,
755,009155,삼성전기우,"38,250","-2,550","-6.2","39,979","1,524,070,300","38,000","39,500","37,000","111,192,138,000","0.01","2,906,984",,,
756,214420,토니모리,"6,300","-640","-9.2","74,537","470,404,390","6,330","6,650","6,110","111,132,000,000","0.01","17,640,000",,,
757,072020,중앙백신,"11,100","-750","-6.3","247,757","2,773,587,000","11,200","11,550","11,000","110,556,000,000","0.01","9,960,000",,,
758,123860,아나패스,"10,850","-300","-2.7","282,160","2,947,362,020","9,900","11,200","9,760","109,885,545,000","0.01","10,127,700",,,
759,052330,코텍,"7,050","-220","-3.0","102,075","706,386,000","6,900","7,100","6,520","109,800,591,600","0.01","15,574,552",,,
760,003460,유화증권,"9,670","-130","-1.3","20,358","193,637,050","9,430","9,670","9,400","109,662,470,610","0.01","11,340,483",,,
761,012700,리드코프,"4,145","-195","-4.5","296,977","1,214,387,740","4,050","4,200","3,975","109,619,229,575","0.01","26,446,135",,,
762,004970,신라교역,"6,850","-340","-4.7","53,554","356,511,870","7,050","7,050","6,520","109,600,000,000","0.01","16,000,000",,,
763,033160,엠케이전자,"5,020","-710","-12.4","223,569","1,165,722,610","5,250","5,390","5,020","109,474,598,780","0.01","21,807,689",,,
764,023760,한국캐피탈,"345","-14","-3.9","220,150","76,114,828","354","354","335","108,885,303,720","0.01","315,609,576",,,
765,089010,켐트로닉스,"7,460","-1,010","-11.9","669,578","5,076,113,460","7,630","7,970","7,200","108,709,320,700","0.01","14,572,295",,,
766,142760,바이오리더스,"6,140","390","6.8","1,877,829","11,676,922,530","5,600","6,980","5,050","108,573,527,900","0.01","17,682,985",,,
767,086820,바이오솔루션,"13,400","-1,350","-9.2","151,075","2,034,247,150","13,000","14,150","13,000","108,425,108,400","0.01","8,091,426",,,
768,000155,두산우,"27,100","-400","-1.4","11,403","295,421,350","26,000","27,450","24,950","108,304,120,200","0.01","3,996,462",,,
769,054050,농우바이오,"6,740","-350","-4.9","51,632","340,832,840","6,590","6,870","6,450","108,045,981,140","0.01","16,030,561",,,
770,001390,KG케미칼,"8,300","-700","-7.8","136,952","1,139,591,360","8,210","8,640","8,130","108,009,825,600","0.01","13,013,232",,,
